Paulo, 45632145, efgfgrf@gmail.com, 17453514859624, jiu: R$ 840,00, muay thay: R$ 90,00, boxe: R$ 225,00, 
Paulo Henrique Flausino Patarello, 5862145215, grefr@gmail.com, 4632145215, jiu: R$ 210,00, muay thay: R$ 90,00, boxe: R$ 900,00, 
Paulo Henrique Flausino Patarello, 5862145215, grefr@gmail.com, 4632145215, jiu: R$ 210,00, muay thay: R$ 90,00, boxe: R$ 900,00, 
Paulo Henrique Flausino Patarello, 5862145215, grefr@gmail.com, 4632145215, jiu: R$ 210,00, muay thay: R$ 90,00, boxe: R$ 900,00, 
Paulo Henrique Flausino Patarello, 5862145215, grefr@gmail.com, 4632145215, jiu: R$ 210,00, muay thay: R$ 90,00, boxe: R$ 900,00, 
Paulo Henrique Flausino Patarello, 5862145215, grefr@gmail.com, 4632145215, jiu: R$ 210,00, muay thay: R$ 90,00, boxe: R$ 900,00, 
Joaozinho, 1597563, fefegd@gmail.com, 789456123, jiu: R$ 840,00, 
Paulinho, 5758853, fgtrefrgth@gmail.com, 804536953652, muay thay: R$ 270,00, boxe: R$ 75,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Fulano de Tal, 57852369865, fulano@detal.com, 584568, boxe: R$ 900,00, 
Paulo Henrique, 57425574, 5wfegrfrgfegr@gmail.com, 258282, muay thay: R$ 90,00, 
Paulo Henrique, 57425574, 5wfegrfrgfegr@gmail.com, 258282, muay thay: R$ 90,00, 
Joao Silva, 44444444444444, joasislva@gmail.com, 555555555555555555, muay thay: R$ 1.080,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, jiu: R$ 70,00, boxe: R$ 75,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, jiu: R$ 70,00, boxe: R$ 75,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, jiu: R$ 70,00, boxe: R$ 75,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
Paulo Henrique, 123456789, 456789@gmail.com, 987654321, muay thay: R$ 90,00, 
